剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
白鹿原,2017,刘进,申捷 / 陈忠实,张嘉译 / 秦海璐 / 何冰 / 刘佩琦 / 李洪涛 / 雷佳音 / 翟天临 / 李沁 / 姬他 / 王骁 / 孙铱 / 田昊 / 杨皓宇 / 扈耀之 / 戈治均 / 邓伦 / 斯琴高娃 / 郝洋 / 张瑶 / 孟召重 / 曹馨月,剧情 / 历史,中国大陆,77,45,8.8,60758
你好，旧时光,2017,沙漠,八月长安 / 卓越泡沫 / 赵_ / 陈潇骁 / 陆洋 / 邓珂 / 潘可唯 / 张紫微 / 李海蒂,李兰迪 / 张新成 / 周澄奥 / 李牵 / 许梦圆 / 赵健雷 / 汤梦佳 / 曹恩齐 / 陈鹏万里 / 柳俊岐 / 姜_ / 蒋宜儒 / 张磊 / 宁理 / 方文强 / 高文峰 / 李博洋 / 胡世群 / 田宜峰 / 梁浩 / 刘启恒 / 蒯伊琳 / 王俊浩 / 袁晟珉 / 魏子淇 / 李晨语 / 郭唐维 / 尚怡琳 / 顾语涵 / 银艺 / 马藜 / 韩夫一 / 刘畅 / 仲小印 / 董向荣 / 王春妹 / 刁熙娟 / 陈莹 / 吴吉良 / 田淼 / 王美娟 / 杨厚_ / 董日_ / 毛爱宁 / 刘乃强,剧情 / 爱情,中国大陆,30,45,8.7,80877
夜操场,2017,林哲乐,林哲乐,标马 / 宁南 / 车孝东 / 兰一添 / 李天恩 / 赵亮 / 潘兴源,,中国大陆,7,5,8.5,145
琅琊榜之风起长林,2017,孔笙 / 李雪,海宴,黄晓明 / 刘昊然 / 佟丽娅 / 张慧雯 / 梅婷 / 张博 / 郭京飞 / 毕彦君 / 孙淳 / 王庆祥 / 尤勇 / 吴昊宸 / 成泰_ / 乔欣 / 刘钧 / 胡先煦 / 刘琳 / 邢岷山 / 金泽灏 / 张_琰 / 王永泉,剧情 / 古装,中国大陆,50,45,8.5,87534
大秦帝国之崛起,2017,丁黑,张建伟 / 钱洁蓉,宁静 / 张博 / 邢佳栋 / 杨志刚 / 沈佳妮 / 赵龙豪 / 吴连生 / 王小毅 / 王梓桐 / 张译文 / 宁露 / 王绘春 / 霍青,剧情 / 历史,中国大陆,40,45,8.5,27358
虎啸龙吟,2017,张永新,常江,吴秀波 / 刘涛 / 李晨 / 张钧甯 / 唐艺昕 / 王洛勇 / 刘欢 / 王东 / 肖顺尧 / 檀健次 / 来喜 / 陆思宇 / 章贺 / 杜奕衡 / 褚栓忠 / 张天阳 / 刘凌志 / 刘岳 / 赵寰宇 / 阎汶宣 / 程诚 / 陆妍淇 / 丁海峰 / 卢星宇,剧情 / 战争 / 古装,中国大陆,44,45,8.4,48438
人民的名义,2017,李路,周梅森,陆毅 / 柯蓝 / 张丰毅 / 吴刚 / 许亚军 / 张志坚 / 胡静 / 张凯丽 / 高亚麟 / 白志迪 / 李建义 / 冯雷 / 李光复 / 赵子琪 / 丁海峰 / 张_临 / 岳秀清 / 翟万臣 / 许文广 / 侯勇 / 黄若萌 / 王丽云 / 陶慧敏 / 徐光宇 / 黄俊鹏 / 李威 / 阚__ / 唐菀 / 纪帅 / 李昕岳 / 黄薇 / 高英 / 赵龙豪 / 施大生 / 卞涛 / 何达 / 侯天来 / 沈晓海 / 郝光 / 孙宁 / 李学政 / 徐小恪 / 王海平 / 滕爱弦 / 方晓莉 / 李飞 / 于诚群 / 石强 / 王_ / 何昕霖 / 欧阳培龙 / 刘若谷 / 杨嘉华 / 曹杨 / 张艺丹 / 李路 / 宗晶 / 赵雄 / 史政涵 / 王建兵 / 亚飞 / 贾米娜 / 张世民 / 潘兴源 / 赵文春 / 包云飞 / 陈果 / 马丹旎 / 张萍 / 胡世群 / 安龙 / 戴金正 / 刘伟 / 彭蓝 / 魏兵 / 杨军 / 夏天 / 崔健 / 张佳佳 / 王彬 / 危颖 / 腾宝才 / 潘小千 / 赵晓飞 / 薛晓帆 / 巩金国 / 张倩 / 陈旭鹏 / 邱梓童 / 盛凡 / 丁俊龙 / 赵敏 / 霍娟 / 蔡永健 / 袁军 / 朱国瑜 / 朱维民 / 曹洪 / 马国华 / 任重 / 盖琛雨 / 李义 / 胡林 / 徐宁 / 金春 / 乔治 / 陈光辉 / 李书豪 / 刘晓莉 / 张思远 / 李文强 / 丛魏 / 刘同 / 史建明 / 霍兴宝 / 叶华 / 李阳 / 陈句 / 陈刚 / 仲奕卉 / 仲奕如 / 毛凡 / 张德超 / 王国华 / 韩志华 / 刘佳星 / 赵辉 / 孟宪国 / 刘建国 / 刘高丽 / 于军峰 / 周凯 / 周竹梅 / 王建兵,剧情 / 悬疑 / 犯罪,中国大陆,52,55,8.3,207490
河神,2017,田里,刘成龙 / 杨宏伟 / 天下霸唱,李现 / 张铭恩 / 王紫璇 / 陈芋米 / 苇青 / 唐以诺 / 陈剑 / 杨曙铭 / 梁国荣 / 康恩赫 / 郭九龙 / 孙梦泉 / 董向荣 / 杨轶 / 冯齐 / 郭亚菲 / 李逸男 / 杨哲 / 陈海龙 / 柳希龙 / 卢待熹 / 邵晓江 / 罗米 / 李一锋 / 杨舒米 / 罗永昌 / 王军 / 钟鸣 / 李靖 / 夏东鑫 / 程枫 / 三品 / 屈刚 / Schneider / 何坦 / 龚俊泽 / 康嘉烨,剧情 / 悬疑,中国大陆,24,40,8.2,96313
鸡毛飞上天,2017,余丁,申捷,殷桃 / 张译 / 陶泽如 / 张佳宁 / 高姝瑶 / 吴其江 / 林伊婷,剧情,中国大陆,55,45,8.2,23417
无证之罪,2017,吕行,马伪八 / 紫金陈,秦昊 / 邓家佳 / 姚橹 / 代旭 / 王真儿 / 宁理 / 荆浩 / 林鹏 / 袁满 / 要武 / 程雍 / 张澍 / 李俊霆 / 刘戈滨 / 赵晖 / 李泽 / 刘洋 / 赵梓淇 / 王海军 / 郭海鹏 / 蓝骁 / 刘唯伟 / 张成成 / 杨皓轩 / 郑超 / 赵杨 / 饶国锋 / 王雪洋 / 赵彦 / 吕行,悬疑 / 犯罪,中国大陆,12,55,8.2,70086
