演员,平均分,部数
杜光炜,8.9,1
贾致罡,8.9,1
韩熙明,8.9,1
姜光宇,8.9,1
施建岚,8.9,1
刘魁,8.9,1
夏和平,8.9,1
张彦春,8.9,1
蔡鸿翔,8.9,1
常林,8.9,1
李定保,8.9,1
澹台仁慧,8.9,1
金博,8.9,1
丛培信,8.9,1
于兰,8.9,1
叶京,8.9,1
胡龙吟,8.9,2
殷姿,8.9,1
桑砚,8.9,1
刘轩,8.9,1
顾睿涛,8.9,1
曾令,8.9,1
盘胤斐,8.9,1
笑嘻嘻,8.9,1
刘子绚,8.9,1
刘晓忆,8.9,1
_崎翎榕,8.9,1
季芮彤,8.9,1
陈奕达,8.9,1
林政逸,8.9,1
瞿友宁,8.9,1
徐宛铃,8.9,1
富富,8.9,1
任淇,8.9,1
万芳,8.9,1
方炯镔,8.9,1
丫子,8.9,1
林意箴,8.9,2
周丹薇,8.9,1
张萍萍,8.9,1
刘引商,8.9,1
余怡萱,8.9,1
余昱纬,8.9,1
谢宇威,8.9,1
马囡,8.9,1
许豪恩,8.9,1
余函弥 Bonnie,8.9,1
詹乃蓁,8.9,1
游家玮,8.9,1
朱丽君,8.9,1
邱彦翔,8.9,1
王恩德,8.9,1
沈炜竣,8.9,1
励政达,8.9,1
陈罗蜜欧,8.9,1
黄熊金盆,8.9,1
柯逸华,8.9,1
江明娟,8.9,1
张家云,8.9,1
丸子,8.9,1
杜俊伟,8.9,1
荣忠豪,8.9,1
宜萱老师,8.9,1
庞祖云,8.86,5
李金江,8.85,2
李斌,8.85,2
付以琳,8.85,2
王思宇,8.85,2
叶辰莛,8.85,2
于翔,8.85,2
武雨泽,8.85,2
丁翔南,8.85,2
安洁,8.85,2
邱秀敏,8.8,1
虞佩仪,8.8,1
陈国钧,8.8,1
李一兵,8.8,1
华渭强,8.8,1
吕盈莹,8.8,1
陈蕾,8.8,1
罗沐,8.8,1
吴祯 ,8.8,1
_清喜,8.8,1
刘文曲,8.8,1
高慧君,8.8,1
袁文君,8.8,1
马星耀,8.8,1
李爱晶,8.8,1
单雯俪,8.8,1
范艺萌,8.8,1
MC歌者阳子,8.8,1
吴祥礼,8.8,1
刘佳潼,8.8,1
何雅洁,8.8,1
于文韬,8.8,1
曹冬羽,8.8,1
孙紫琳,8.8,1
李胜达,8.8,1
MC伦鹏,8.8,1
柯俊雄,8.8,1
吕赢,8.8,1
张杭,8.8,1
孙莹莹,8.8,1
莲洁,8.8,1
绳玉琴,8.8,1
吴怀中,8.8,1
鸿鸿,8.8,1
林义雄,8.8,1
李昭,8.8,1
徐熙涵,8.8,1
李培明,8.8,1
李泽章,8.8,1
赵志军,8.8,1
何群,8.8,2
韩岚,8.8,1
施琅,8.8,1
冯启龙,8.8,1
孙燕华,8.8,1
王涵,8.8,1
霍亚楠,8.8,1
肖伽芮,8.8,1
鄢佳辉,8.8,1
宋志安,8.8,1
善亭,8.8,1
张震,8.8,1
苏晴,8.8,1
李雄,8.8,1
王志义,8.8,1
王洋东,8.8,1
李道南,8.8,1
王晓青,8.8,1
李德,8.8,1
李建国,8.8,1
刘芷汐,8.8,1
贺德光,8.8,1
文月明,8.8,1
李路遥,8.8,1
徐恒华,8.8,1
陈宏钊,8.8,1
孙伟峰,8.8,1
溟溟龙,8.8,1
金潇,8.8,1
宋金奇,8.8,1
王明台,8.8,1
刘冲,8.8,2
熊亮,8.8,1
李俊,8.8,1
徐春娣,8.8,1
康保民,8.8,1
宋懿洁,8.8,1
三毛,8.8,1
卫晓茼,8.8,2
张竹,8.8,1
周国治,8.8,3
扈强,8.8,1
赵咏华,8.8,1
孙亚龙（笑笑）,8.8,1
王孙,8.8,1
李昆,8.8,1
熊磊,8.8,1
熊鹏慧,8.8,1
柳冰光,8.8,1
李保国,8.8,1
惠建国,8.8,1
戴文超,8.8,1
宋梵常乐,8.8,1
程泓,8.8,1
张文东,8.8,1
吴潇娜,8.8,1
孙丽军,8.8,1
贝逸宁,8.8,1
潘米多,8.8,1
仇雨暮,8.8,1
潘嘉俊,8.8,1
胡健星,8.8,1
仇世有,8.8,1
蒋宇韬,8.8,1
孙博文,8.8,1
叶政潼,8.8,1
李浩宇（西卡）,8.8,1
区岳,8.8,1
梁少秋,8.8,1
吕剑光,8.8,1
石云,8.8,1
龙志成,8.8,1
沈宝思,8.8,1
多福,8.8,1
玉头,8.8,1
博君,8.8,1
杨子韬,8.8,1
阙可维,8.8,1
汤果果（七号）,8.8,1
雷颖怡,8.8,1
黄凯诗,8.8,1
黄成想,8.8,1
李佳轩 梅岳,8.8,1
祝瑞 闫旷达,8.8,1
尹承龙 孙梦璇,8.8,1
闫羽,8.8,1
白洋,8.8,1
邵帅,8.8,1
姚杰龙,8.8,1
何图英,8.8,1
梁钦棋,8.8,1
何_雯,8.8,1
陈琪琪,8.8,1
郑邦玉,8.8,1
高维启,8.8,1
李维康,8.8,1
李婉芬,8.8,1
邵华,8.8,1
许丽萍、张英,8.8,1
梁永璋、丁沙生,8.8,1
张瑞春、张弓,8.8,1
王涛,8.8,3
庄心瑜,8.8,2
李彤,8.8,1
邓海燕,8.8,1
王晓波,8.8,1
李东,8.8,1
张璋,8.8,1
杨溢,8.8,1
田龙,8.8,1
佟瑞冬,8.8,1
闫青,8.8,1
黄韵诗,8.8,1
刘克宣,8.8,1
罗立勤,8.8,1
陆希扬,8.8,1
孙承政,8.8,2
李轩,8.8,1
兔子,8.8,1
胡凯利（洞主）,8.8,1
李威俊（死亡宣告）,8.8,1
周淑怡,8.8,1
棒子,8.8,1
孟晨,8.8,1
曹旭鹏,8.8,1
简爱,8.8,1
鹰酱,8.8,1
胡炯_,8.8,1
李牧,8.8,1
唐广书,8.8,1
江_,8.8,1
李秀冬,8.8,1
刘真,8.8,1
谢盈萱,8.77,3
孙蛟龙,8.77,3
刘娜,8.75,2
甘国亮,8.75,2
林子祥,8.75,2
张欣,8.75,2
王倩,8.75,2
杨博,8.75,2
谭宗尧,8.75,2
郭萱,8.75,2
伍强,8.75,2
战士强,8.75,2
高文峰,8.75,2
刘启恒,8.75,2
吕启凤,8.73,3
林志儒,8.73,3
陆军,8.7,1
赵健雷,8.7,1
段力引,8.7,1
尚怡琳,8.7,1
银艺,8.7,1
姜_,8.7,1
柳俊岐,8.7,1
高策,8.7,1
曹恩齐,8.7,1
刁熙娟,8.7,1
马藜,8.7,1
沈小谦,8.7,1
许梦圆,8.7,1
李牵,8.7,1
吴吉良,8.7,1
王美娟,8.7,1
杨厚_,8.7,1
董日_,8.7,1
李晨语,8.7,1
杨成纯,8.7,1
于鼎,8.7,1
李博洋,8.7,1
蒋宜儒,8.7,1
孙彦军,8.7,3
陆树铭,8.7,3
周澄奥,8.7,1
李国平,8.7,1
魏轩,8.7,1
刘乃强,8.7,1
田宜峰,8.7,1
李锴,8.7,1
龙吟,8.7,1
郝京京,8.7,1
丁建华,8.7,1
蒯伊琳,8.7,1
王俊浩,8.7,1
袁晟珉,8.7,1
魏子淇,8.7,1
胡明明,8.7,1
洪诚阳,8.7,1
格子,8.7,1
韩旗,8.7,1
刘方英,8.7,1
房栋,8.7,1
赵璐嘉,8.7,1
谭洪波,8.7,1
江群,8.7,1
沈小边,8.7,1
凌弈,8.7,1
叶德娴 Deannie Yip,8.7,1
张艺龄,8.7,1
杨慧祯,8.7,1
吕良伟 Ray Lui,8.7,1
彭于缜,8.7,1
陈柏渝,8.7,1
林郁涵,8.7,1
周淑英,8.7,1
彭美霖,8.7,1
陈彦兆,8.7,1
彭增豪,8.7,1
林函洁,8.7,1
吕德明,8.7,1
潘柏希,8.7,1
安原良,8.7,1
尤学廷,8.7,1
谢佳勋,8.7,1
李晋纬　谢月美,8.7,1
关_淼,8.7,1
萧郁芸,8.7,1
贾雨岚,8.7,1
王逸诗,8.7,1
雍和平,8.7,1
安妮,8.7,1
傅学成,8.7,1
施文心,8.7,1
钟萍,8.7,1
韩再芬,8.7,2
夏一可,8.7,1
沐雪若菲,8.7,1
陈博,8.7,1
朴珊,8.7,1
葛张君,8.7,1
张辉力,8.7,1
张健新,8.7,1
顾红蔚,8.7,1
金草,8.7,1
肖伟,8.7,1
阮鹏,8.7,1
米冈宽纯,8.7,1
郭万超,8.7,1
苏韵姿,8.7,1
陈百强,8.7,1
毛爱宁,8.7,1
吕威池,8.7,1
Aleksandra Teryaeva,8.7,1
弗叶·贡恰鲁克,8.7,1
胡晓军,8.7,1
叶·格·马尔采娃,8.7,1
阿·阿·捷里亚耶娃,8.7,1
勒·普·科列斯尼科娃,8.7,1
勒·姆·卡扎科娃,8.7,1
伊·格·瑟索延科,8.7,1
奥·伊·博伊科,8.7,1
尤·弗·罗戈列夫,8.7,1
伊·姆·奥梅利科夫,8.7,1
德·伊·伊夫金,8.7,1
安娜·捷尼拉洛娃,8.7,1
沈晓,8.7,1
孙立忠,8.7,1
伍元生,8.7,1
曹鹏,8.7,1
阿迪力·买买提吐热,8.7,1
金宝,8.7,1
刘连生,8.7,1
叶·弗·瓦尔茨,8.7,1
克·恩·库奇金,8.7,1
斯·阿·格拉德涅娃,8.7,1
王领,8.7,1
嘉央桑珠,8.7,1
顾珂嘉,8.7,1
麦麦提图尔荪·麦麦提力,8.7,1
祖拜丹木·艾山,8.7,1
陈丽娟,8.7,2
谢迎秋,8.7,1
初晓,8.7,1
小泽征悦,8.7,1
田中裕子,8.7,1
德·布·西蒙年科,8.7,1
王淑琴,8.7,2
朱之文,8.7,1
孔龙震,8.7,1
赵鹏,8.7,1
徐刚,8.7,1
童自荣,8.7,1
Tatyana Ostap,8.7,1
阿·叶·索科洛夫,8.7,1
特·亚·奥斯塔普,8.7,1
尤·勒·叶戈罗夫,8.7,1
高田昊,8.65,2
张蕾,8.65,2
马小宁,8.65,2
周贤珍,8.65,2
应岱臻,8.63,3
刘子枫,8.63,7
翟鹏,8.6,1
范近轮,8.6,1
胡灵灵,8.6,2
龙少强,8.6,1
朱建民,8.6,1
周晓芬,8.6,1
林燕玉,8.6,2
孟海,8.6,2
赵冉,8.6,1
王宜谦,8.6,1
吴玮蓉,8.6,1
陆凯,8.6,1
方青平,8.6,1
慕青,8.6,1
廖小宣,8.6,1
陈光忠,8.6,1
邵琪,8.6,1
郭菁菁,8.6,1
刘永田,8.6,1
场昆,8.6,1
陈惠娟,8.6,1
吴雨桥,8.6,1
高昌昊,8.6,1
陈康,8.6,1
李希恩,8.6,1
罗伯特,8.6,1
贾科,8.6,1
王霞,8.6,1
梁婷,8.6,1
方文强,8.6,3
肖扬,8.6,1
吴宝国,8.6,1
陈敏,8.6,1
宋义峰,8.6,1
柏鸿文,8.6,1
芭芭拉·威尔舍,8.6,1
肖岳,8.6,1
张涵,8.6,1
徐路,8.6,1
刘捷,8.6,1
唐玉生,8.6,1
陈紫鹏,8.6,1
孙兆南,8.6,1
莲琪,8.6,1
章立新,8.6,1
汪月洁,8.6,1
杨冬虎,8.6,1
蔡保国,8.6,1
七小龄童,8.6,1
施大为,8.6,1
徐源捷,8.6,1
李海龙,8.6,1
王跃晋,8.6,1
梁丹昵,8.6,1
叶晖,8.6,1
胡明克,8.6,1
刘柳,8.6,1
杨琼华,8.6,2
陈季霞,8.6,1
杨小黎,8.6,2
黄新德,8.6,1
许威,8.6,1
山田邦子,8.6,1
秦豪,8.6,1
谢毅宏,8.6,1
曾淑雅,8.6,1
王金璐,8.6,1
黄焯言,8.6,1
余香凝,8.6,1
蔡思韵,8.6,1
卢镇业,8.6,1
the pancakes,8.6,1
泽口靖子,8.6,1
罗吉龙,8.6,1
王同乐,8.6,1
刘旺,8.6,1
李世龙,8.6,1
张延炳,8.6,1
关辉,8.6,1
栾胡华,8.6,1
王喜元,8.6,1
陈戈,8.6,1
胡俊,8.6,1
宁静 刘佩琦,8.6,1
李鑫,8.6,1
贺松寿,8.6,1
伍仁斌,8.6,1
梅志刚,8.6,1
孔庆子,8.6,1
李海峰,8.6,1
卢明,8.6,1
陆继东,8.6,1
夏志平,8.6,1
潘耀初,8.6,1
蒋立国,8.6,1
李海贝,8.6,1
王鸣,8.6,1
杨福强,8.6,1
邱德洋,8.6,1
罗鸿,8.6,1
元亮,8.6,1
许忠全,8.6,1
陈松,8.6,3
张论,8.6,1
藏_人,8.6,1
史_文一家,8.6,1
葛平,8.6,3
谷德刚,8.6,1
王卫平,8.6,1
罗思琦,8.6,1
李晓嘉,8.6,1
张小虎,8.6,1
王湘平,8.6,1
宋谷,8.6,1
周曙,8.6,1
杨珊珊,8.6,1
邓雨倩,8.6,1
符学斌,8.6,1
黄宇娟,8.6,1
陈功,8.6,1
周光大,8.6,1
曹雪晴,8.6,1
刘文晶,8.6,1
肖谨,8.6,1
蔡小伟,8.6,1
余小玲,8.6,1
冯磊,8.6,1
徐宝忠,8.6,1
李俊豪,8.57,3
黄凯,8.55,2
郭飞歌,8.55,2
周继伟,8.55,2
王铮,8.55,2
张文蓉,8.55,2
章玉善,8.55,2
宋卿,8.55,2
陈荣达,8.55,2
毛猛达,8.55,2
余亚颖,8.55,2
杨_奎,8.55,2
杨知周,8.55,2
姚奥依,8.55,2
蔡嘉诚,8.55,2
肖杨博涵,8.55,2
宁理,8.53,3
刘红星,8.53,3
刘汗,8.53,3
黄文择口白,8.51,16
王淮仲,8.5,1
周心瑜,8.5,1
黄韵玲,8.5,1
_妤,8.5,1
邓育凯,8.5,1
丁继勇,8.5,1
陈孟汝,8.5,1
樱庭奈奈美,8.5,1
信乐团,8.5,1
刘福助,8.5,1
阿Ken,8.5,1
马加奇,8.5,2
费宏,8.5,1
蒋笑笑,8.5,1
刘戈滨,8.5,2
谢盈莹,8.5,1
孙少渤,8.5,1
郭冠琳,8.5,1
关朝聪,8.5,1
于伟杰,8.5,1
齐如意,8.5,1
孙世明,8.5,1
袁满,8.5,3
杨庆煌,8.5,2
宁南,8.5,1
陈铁军,8.5,1
罗 兰,8.5,1
丁乙,8.5,1
刘兆璋,8.5,1
徐晓贝,8.5,2
胡樱汶,8.5,1
陈宝仪,8.5,1
刘运元,8.5,1
马亮,8.5,1
孔飞,8.5,1
吴俊,8.5,1
张锋,8.5,1
Green Peace,8.5,1
雷丹,8.5,1
李长年,8.5,1
刘楠,8.5,2
英若诚,8.5,2
王丽波,8.5,1
萧玮,8.5,1
胡世群,8.5,2
李扬,8.5,2
邰华,8.5,1
郭伟琳,8.5,1
董梁,8.5,1
施天音,8.5,1
傅以宏,8.5,1
李天恩,8.5,1
李靖,8.5,2
张士会,8.5,1
孙跃进,8.5,1
胡安太,8.5,1
毛依文,8.5,1
武和平,8.5,1
鞠士宏,8.5,1
于菁,8.5,1
王凤斌,8.5,1
王玉珍,8.5,1
牟紫,8.5,1
曾秋生,8.5,1
吴启明,8.5,3
金泠云,8.5,1
刘寿宇,8.5,1
张栩,8.5,1
哼哼,8.5,1
张星辰,8.5,1
王丹宁,8.5,1
沈桐,8.5,1
裴娴哲,8.5,1
徐唯,8.5,1
兰一添,8.5,1
肖驰,8.5,1
川子,8.5,1
赵曦,8.5,2
卢杉,8.5,2
车孝东,8.5,1
陈凤桐,8.5,2
张珏,8.5,1
