剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
金剑雕翎,2003,王奕开,中亚编剧小组,黄坤玄 / 罗海琼 / 于荣光 / 连奕名 / 刘莉莉 / 汪芫 / 徐筠 / 张蓓蓓,武侠 / 古装,中国大陆 / 台湾,39,,5.8,258
还珠格格第三部,2003,李平 / 丁仰国,琼瑶,黄奕 / 古巨基 / 周杰 / 马伊_ / 王艳 / 黄晓明 / 刘涛 / 秦岚 / 狄龙,剧情 / 爱情,中国大陆 / 香港 / 台湾,40,45,4.8,24596
恋香,2003,杨大庆,刘玮慈,彭于晏 / 秋瓷炫 / 刘松仁 / 沈时华 / 许玮伦 / 吴建宇 / 白吉胜 / 李欣 / 明智妍 / 李喜真 / 康珉_ / 裴美子,爱情,香港 / 台湾,30,,7.7,2135
凤凰大视野,2004,凤凰卫视,,曾子墨,,中国大陆 / 香港,5,30,7.5,165
绝世双骄,2004,邓衍成 / 梁国冠 / 黄伟杰 / 马华干 / 陈国华 / 陈桂纶,黄浩华 / 杨基 / 谭伟成 / 陈成东,林志颖 / 李小璐 / 天心 / 唐宸禹 / 吴启华 / 于莉 / 郑国霖 / 张瑞竹 / 苏有朋 / 徐锦江,剧情 / 爱情 / 武侠 / 古装,中国大陆 / 台湾,40,46,6.5,3869
月上江南之狄仁杰洗冤录,2004,刘仕裕,张晓亚 / 应红,欧阳震华 / 刘孜 / 谢娜 / 陈莎莉 / 宁静 / 王学兵,喜剧 / 爱情,中国大陆 / 香港 / 台湾,31,40,5.5,107
升空高飞,2004,,,庹宗华 / 陈浩民 / 张玉华 / 江祖平 / 张琼姿,剧情,香港 / 台湾,25,,7,188
泪痕剑,2005,李路 / 杨小雄,古龙,焦恩俊 / 蔡少芬 / 王辉 / 常铖 / 汤钧禧 / 高露 / 张晋,剧情 / 武侠,中国大陆 / 香港,35,40,7.8,696
京华烟云,2005,张子恩,林语堂 / 张永琛,赵薇 / 潘粤明 / 邱琦雯 / 陈宝国 / 黄维德 / 王刚 / 赵奎娥,剧情 / 爱情 / 家庭 / 战争,中国大陆 / 台湾,44,46,7.8,24251
天下第一,2005,邓衍成 / 韦丽园,王晶 / 林强,李亚鹏 / 郭晋安 / 霍建华 / 张卫健 / 高圆圆 / 黄圣依 / 刘松仁 / 陈怡蓉 / 叶璇 / 李建义 / 邓超 / 汤镇业 / 陈法蓉 / 唐群,动作 / 爱情 / 古装,中国大陆 / 香港 / 台湾,35,45,7.7,25329
蒲公英,2005,于建福,陶海,胡歌 / 孙莉 / 关颖 / 袁弘 / 杜志国 / 谭耀文 / 洪乙心 / 潘仪君 / 陶泽如 / 郑佩佩,剧情 / 爱情,中国大陆 / 台湾,22,40,7.4,1709
八大豪侠,2005,王晶,王晶,黄秋生 / 陈冠希 / 刘松仁 / 李冰冰 / 林子聪 / 董璇 / 李小璐 / 范冰冰 / 郑晓东 / 韩晓 / 陆毅,剧情 / 武侠,中国大陆 / 香港,40,,6.5,6181
夜半歌声,2005,黄磊,黄磊,徐熙媛 / 黄磊 / 何润东 / 孙莉 / 刘德凯,剧情,中国大陆 / 台湾,30,,6.4,471
美丽新天地,2005,蒋家骏 / 龙绍基,邓紫珊,张智霖 / 杨恭如 / 范冰冰 / 高云翔 / 邓健泓 / 苑琼丹,剧情 / 爱情,中国大陆 / 香港,26,45,6.2,319
烧饼皇后,2005,李岳,,关咏荷 / 郭晋安 / 黄宗洛 / 戴娇倩 / 刘洁,剧情 / 古装,中国大陆 / 香港,19,,6.1,1400
24小时警事,2005,刘惠宁,唐礼兵 / 王_ / 陈维 / 明宇,张嘉译 / 孔琳 / 肖辉 / 景岗山 / 徐正廷 / 王妍妍 / 杨新鸣 / 罗京民 / 谭希和 / 王双宝,剧情 / 悬疑 / 犯罪,中国大陆 / 香港,24,45,5.8,112
海上传奇,2005,曲立君,,斯琴高娃 / 吴倩莲 / 王雨 / 李明启 / 梅婷 / 倪景阳 / 何志峰,,中国大陆 / 台湾,28,,5.7,42
天下太平,2005,林健龙 / 陈皓威,,黄海冰 / 戴娇倩 / 孙耀威 / 陈雅伦 / 关礼杰 / 郑佩佩,剧情,香港 / 台湾,40,,6.7,80
