剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
红色气球,2017,税成铎,李政达 / 刘沿玱 / 陈嘉轩,徐韬 / 陈昊森 / 亮哲 / 谢坤达 / 方志友 / 信,剧情 / 爱情 / 同性,台湾,8,10,8.4,3309
恶作剧2吻,2007,瞿友宁,多田薰,郑元畅 / 林依晨 / 汪东城 / 唐禹哲 / 曾少宗 / 修杰楷,喜剧 / 爱情,台湾,20,33,8.4,43344
七侠五义,1994,梁凯程 / 王重光 / 孙仲 / 陈烈 / 李英 / 侯伯威 / 邓育庆 / 赵永 / 苏沅峰,蔡文杰 / 陈文贵 / 李昌民 / 陈曼玲 / 张永祥 / 乔安,焦恩俊 / 孙兴 / 张复建 / 邓安宁 / 林在陪 / 游安顺 / 傅雷 / 邰智源 / 田丰,剧情 / 武侠 / 古装,台湾,75,60,8.4,2203
施公奇案(台版),1997,张继龙,陈文贵,廖峻 / 崔浩然 / 焦恩俊 / 黄仲裕 / 邰智源 / 候炳莹,剧情 / 爱情 / 历史 / 古装,台湾,272,45,8.3,199
苦心莲,1984,林福地,琼瑶,萧大陆 / 李慧慧 / 桑妮 / 苏慧伦,剧情,台湾,40,51,8.3,56
酸甜之味,2017,许肇任,杜政哲 / 杨惠文,贺一航 / 柯淑勤 / 蔡君茹 / 张书豪 / 黄远 / 林予晞 / 方志友 / 张翰 / 大文 / 白静宜 / 丁强 / 李璇 / 王自强 / 陆弈静 / 廖慧珍 / 林思宇 / 哈孝远 / 罗启纮 / 洪晟文 / 胡玮杰 / 胡涛 / 于悦 / 许庭瑜 / 张晋维 / 张礼驿 / 邱木翰 / 杨少文 / 高丽红 / 徐灏翔 / 翁雅菁 / 白小樱 / 白润音 / 洪议喨 / 潘振德 / 陈幼芳 / Peter / 吕仲芸 / 欧阳彬 / 周维钰 / 萧昊祥 / 丁梅卿 / 陈威廷 / 洪亘 / 谢雨芝 / 王韵茹 / 梁志玮 / 郭建昌 / 杨谨华 / 北村丰晴 / 刘品言 / 欧阳伦 / 林雨宣 / 庄心瑜 / 林莉 / 林志儒 / 黄采仪 / 郭鑫 / 古斌,剧情 / 爱情,台湾,15,90,8.3,112
刀歌之多情刀,1999,鞠觉亮 / 蒲腾晋,刘玫 / 王莉芝,黄文豪 / 何美钿 / 龚慈恩 / 林伟,,台湾,10,,8.3,202
霹雳侠影之轰动武林,2013,王嘉祥,廖明治 / 周郎 / 章三封 / 申呈山,黄文择口白,奇幻 / 武侠 / 古装,台湾,20,,8.3,416
妹妹,2014,陈戎晖,徐誉庭,蓝正龙 / 安心亚 / 莫允雯 / 安哲 / 黄嘉千 / 夏靖庭  / 丁也恬,剧情 / 爱情,台湾,13,100,8.3,1609
还珠格格,1998,孙树培,琼瑶,赵薇 / 苏有朋 / 林心如 / 周杰 / 陈志朋 / 范冰冰 / 张铁林 / 戴春荣 / 李明启 / 赵丽娟 / 张恒 / 陈莹 / 陆诗雨 / 刘芳 / 刘丹 / 薛俨 / 李楠 / 鱼梦洁 / 刘芳毓 / 艾洋 / 董伟 / 张巍 / 游龙 / 苗皓钧 / 朱景隆 / 王奕 / 刘伟 / 郑佳欣 / 杨东 / 王坤 / 温海波,剧情 / 喜剧 / 动作 / 爱情 / 古装,台湾 / 中国大陆,24,45,8.3,94996
江湖再見,江湖再見,鞠觉亮,关展博 / 陈丽华,刘松仁 / 关咏荷 / 谢祖武,,台湾,40,,8.2,170
霹雳震寰宇之兵甲龙痕,霹雳震寰宇之兵甲龙痕,王嘉祥,黄强华,黄文择,,台湾,40,,8.2,404
罪美丽,2012,姜秀琼 / 徐誉庭,吴怡然 / 谢秉勋 / 何曜先 / 李婉榕,王识贤 / 林辰唏 / 莫子仪 / 席曼宁 / 林美秀 / 黄瑜娴 / 潘仪君,爱情,台湾,16,90,8.2,718
婆媳过招七十回,1992,,陈世龙,潘迎紫 / 素珠 / 姜厚任 / 蔡佳虹 / 林翠 / 白冰冰,喜剧,台湾,80,60,8.2,498
瑰宝1949,2011,张博昱,夏美华,寇世勋 / 林佑威 / 赖雅妍 / 金士杰,历史,台湾,20,60,8.2,234
霹雳惊鸿之刀剑春秋,2012,黄强华,周郎 / 八叉 / 申呈山 / 伯风,黄文择,武侠 / 戏曲 / 舞台艺术,台湾,20,90,8.2,361
棉被媽觕白賊七,2009,赵中兴,,陈威翰 / 林偕文 / 宣宣,剧情,台湾,10,25,8.2,64
45度℃天空下,2005,王小棣,王小棣,林佑威 / 蓝正龙 / 黃柏文,剧情 / 爱情,台湾,20,45min,8.2,34
