剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
12·1枪杀大案,1999,刘惠宁,李岩希,王双宝 / 海浪 / 马继 / 李少飞 / 杨新鸣,剧情 / 悬疑 / 惊悚,中国大陆,20,47,9.2,3246
一年又一年,1999,安战军 / 李小龙,李晓明,许亚军 / 原华 / 刘威 / 刘莉莉 / 何琳 / 刘冰玥 / 滕汝骏,剧情 / 家庭 / 历史,中国大陆,21,45,9.2,2929
黎明之前,2010,刘江,黄珂,吴秀波 / 林永健 / 陆剑民 / 田小洁 / 张晞临 / 任正斌 / 吴晓东 / 海清,剧情 / 悬疑 / 历史,中国大陆,30,45,9.2,30333
子午书简：蒋勋说《红楼梦》,2011,,,蒋勋 / 田薇,,中国大陆,4,10,9.1,106
闯上海,1996,江澄,张献 / 傅星,赵亮 / 王志文 / 何赛飞 / 吕凉,剧情,中国大陆,26,,9.1,52
嘿！小海军,1995,黎琳 / 友宁,顾天高 / 虞哲杰,杨鸣健 / 赵智 / 史琦,,中国大陆,6,,9.1,197
开心就好之男人无烦恼,2003,方刚亮,过士行,梁冠华 / 杨立新 / 何飞,喜剧,中国大陆,8,,9.1,67
拉萨往事,2002,杨韬 / 陈鲁,黄志龙  / 陈鲁 / 王长波,多布杰 / 朗杰央宗 / 扎西顿珠 / 达瓦央宗,,中国大陆,20,,9.1,75
一鸟九命,1992,梁永璋,胡小孩,李 丽 / 张伟忠 / 倪彩萍,,中国大陆,8,,9.1,65
我亲爱的祖国,1999,刘毅然,韩毓海 / 莫言,陈建斌 / 朱媛媛 / 辛柏青 / 袁立 / 孙强 / 翟佳 / 杨树林 / 王继世 / 李凤绪 / 刘文凤,历史 / 战争,中国大陆,21,49,9.1,1422
百年虚云,2009,陈家林,,李起厚 / 尹治 / 斯琴高娃,剧情,中国大陆,20,50,9.1,1263
中国轨道,2001,林子,陈怀国,李雪健 / 高兰村 / 管寿义 / 傅勇凡 / 高志强 / 谭希和,剧情,中国大陆,16,45,9.1,92
帕米尔医生,2001,谢晓嵋,祁月 / 辛娟 / 尹俭 / 李羽阳,张嘉译 / 王茜华 / 马永 / 李振起 / 谢海霞,传记,中国大陆,8,,9.1,70
历代经济变革得失,2011,吴晓波,,吴晓波,,中国大陆,12,45,9.1,153
百年恩来,1998,邓在军,,,,中国大陆,12,50,9.1,279
亮剑,2005,张前 / 陈健,都梁 / 江奇涛,李幼斌 / 何政军 / 张光北 / 童蕾 / 孙俪 / 战卫华 / 陆彭 / 张桐 / 由力 / 王全有 / 张笑君 / 梁林琳 / 杨联春 / 车晓彤 / 陈艺戈 / 江水 / 宗利群 / 张伟 / 陈旺林 / 袁满 / 张国荣 / 董祁明 / 王炎冰 / 蔡小龙 / 徐雷智 / 田勇 / 郭苏星 / 田春山 / 荣钦 / 柴孛志 / 赵中华 / 李江 / 张建祥 / 孟耿成 / 陈增祺 / 寒丰 / 袁乃旗 / 韩建平 / 常玉平 / 那志东,剧情 / 战争,中国大陆,30,42,9.1,62633
咱老百姓,2001,解芳,,吕启凤 / 郑坤范,剧情,中国大陆,100,,9.1,207
王阳明,2012,陈晓雷,,陆剑民 / 周海媚 / 蒋冰 / 朱一龙,剧情 / 传记 / 历史,中国大陆,38,45,9.1,236
粉墨春秋,2005,蒋樾 / 段锦川,,,,中国大陆,26,24,9.1,188
小戏骨：红楼梦之刘姥姥进大观园,2017,潘礼平 / 刘玉洁 / 胡昀皓 / 释金光,刘玉洁 / 罗妤佳,释小松 / 周漾玥 / 钟熠璠 / 郭飞歌 / 杨纳娜 / 姚奥依 / 孙伊雯 / 刘戴恩 / 陶冰蓝 / 孙乐颜 / 陈舒宜 / 周艺 / 翁馨 / 钟奕儿 / 崔傲菲儿 / 高琳子 / 韦梓彤 / 艾梦欣 / 罗熙怡 / 黄林依阳 / 刘紫璇 / 姚雯嘉 / 陈荣达 / 肖杨博涵 / 郑可卓颖 / 于嘉欣 / 李芝青 / 周巧诒 / 胡轶珂 / 杨旻奎 / 刘怡麟 / 李俊豪 / 张思晨 / 余亚颖 / 刘芸孜 / 汪鑫瞳 / 赵奕琳 / 梁钦 / 韩一诺 / 付馨柔 / 李卓骞 / 许艺菲 / 张良哲 / 王项景浩 / 黄诚越 / 张泽晨 / 姚佳祺 / 陈星宇 / 卢俊辰 / 张靖晗 / 蔡嘉诚 / 陈博政 / 杨知周,剧情 / 儿童 / 古装,中国大陆,9,25,9.1,26392
我们的法兰西岁月,2012,康洪雷,李克威,朱亚文 / 钟秋 / 李艺科 / 马晓灿 / 缪俊杰 / 李泓良 / 张念骅 / 邓莎 / 代旭 / 刘智扬 / 叮当 / 林栋甫 / 袁文康 / 吕夏 / 唐以诺,剧情 / 历史,中国大陆,31,40,9.1,2977
