剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
爱的妇产科2,2015,杨阳,商丙琦,朱丹 / 杨祐宁 / 孙坚 / 魏千翔 / 王笛 / 严晓频 / 李依玲 / 辉灿 / 练束梅 / 许绍洋,剧情 / 爱情,中国大陆,24,,6.5,220
售楼处的故事,2003,英达,梁欢,虞梦 / 聂宁 / 巩汉林 / 赵玲琪 / 潘长江,喜剧,中国大陆,40,25,6.5,81
山里红,2011,雷献禾,高满堂 / 俞智先 / 郭中束,颜丹晨 / 潘粤明 / 宋雨霏 / 于震 / 马仑 / 曹力 / 周舟 / 董连海 / 戴小龙,剧情 / 爱情,中国大陆,30,,6.5,231
情非情,2009,陈国兴 / 乔和平,周煜,江一燕 / 任重 / 一真 / 王新 / 陈彦 / 刘庭羽 / 李诚洁,剧情 / 爱情,中国大陆,27,,6.5,74
苦菜花,2003,王冀邢,,陈小艺 / 茹萍 / 侯天来,剧情 / 战争,中国大陆,20,,6.5,63
青春之歌,2006,张晓光,娅子 / 张建,童蕾 / 谢君豪 / 高云翔,剧情 / 爱情 / 历史 / 战争,中国大陆,25,,6.5,50
蚀日风暴,2018,洪金泼,姜博洋 / 杨牧天 / 曾柏建 / 彭晓茵 / 因夏 / 蒋嘉昕 / 陈兆禧,张智霖 / 薛凯琪 / 王阳明 / 陈瑾如 / 李思函 / 梁汉文 / 梁靖琪 / 宝儿 / 秦沛 / 许绍雄 / 刘兆铭 / 罗家英 / 卢惠光 / 林嘉华 / 郭政鸿 / 麦长青 / 朱鉴然 / 吴肇轩 / 汉研 / 杨鸿俊 / 麦少瑜 / 陈少邦 / 林家熙 / 王敏德  / 陈启泰 / 邵仲衡 / 沈震轩 / 郭卓桦 / 陈安莹 / 灰熊 / 杨天经 / 李鸿杰 / 艾威 / 张松枝 / 黄竣锋 / 张文杰 / 顾定轩 / 泰臣 / 陈彼得 / 鲍康儿 / 张雷 / 姜文杰 / 梁健平 / 何庆辉 / 黄华和 / 车婉婉 / 吴浣仪 / 张沛乐 / 刘沛蘅 / 何咏雯 / 陈思齐,剧情 / 悬疑 / 犯罪,中国大陆 / 香港,36,45,6.5,13030
爱的创可贴,2013,刘俊杰,梁馨月,陈彦妃 / 张睿家 / 杨蓉 / 魏千翔 / 曾之乔 / 邹廷威 / 袁成杰,剧情 / 爱情,中国大陆,36,40,6.5,2291
少年嘉庆,2005,张国立 / 沈怡,陈文贵,张国立 / 王刚 / 黄维德 / 郑家榆 / 张默 / 刘牧 / 岳秀清 / 李建义 / 徐美玲 / 张春年,剧情 / 古装,中国大陆,32,40,6.5,336
单亲妈妈,2009,张自强,马广源,陈松伶 / 刘恺威 / 陈莎莉 / 姜华 / 刘庭羽 / 蒋毅 / 陈佳欣,剧情,中国大陆,26,,6.5,316
